Found, JINA_ID, Query_ID, RA_input   , DEC_input  , main_id                     , ra                , dec                , coo_err_maj, coo_err_min, coo_err_angle, coo_wavelength, coo_bibcode        , V                 , U, K                 , I                 , R                 , J                 , B                 , H                 , otype, plx_value, rvz_nature, rvz_qual, pmra , pmdec , sp_bibcode         , sp_qual, sp_type
True ,        , BL038   , 02:40:20.45, -34:24:00.1, 2MASS J02402046-3424003     , 40.08529333747    , -34.400104651949995,      0.0533,      0.0795,            90, O             , 2020yCat.1350....0G, 18.3700008392334  ,  , 14.611000061035156, 16.729999542236328,                   , 15.670000076293945,                   , 14.791999816894531, RG*  ,          , s         , A       , 0.372, -0.283,                    ,        , 
True ,        , BL045   , 02:40:07.52, -34:23:31.8, 2MASS J02400753-3423320     , 40.031424978690005, -34.39222010822    ,      0.0565,      0.0831,            90, O             , 2020yCat.1350....0G, 18.420000076293945,  , 14.947999954223633, 16.989999771118164,                   , 15.965999603271484,                   , 15.149999618530273, RG*  ,          , s         , A       , 0.343, -0.221,                    ,        , 
True ,        , BL052   , 02:40:10.42, -34:25:17.6, [WMO2009] For-1255          , 40.04351259026    , -34.42157346782    ,      0.0523,      0.0725,            90, O             , 2020yCat.1350....0G, 18.450000762939453,  , 14.970999717712402, 16.809999465942383,                   , 15.798999786376953,                   , 15.043000221252441, RG*  ,    0.0354, s         , A       , 0.297, -0.356,                    ,        , 
     ,        ,         ,            ,            ,                             ,   
True ,        , BL065   , 02:39:22.15, -34:19:40.3, GB07 Fnx01                  , 39.84242758249001 , -34.32798476663999 ,      0.0586,      0.0773,            90, O             , 2020yCat.1350....0G, 18.354999542236328,  , 15.071000099182129, 17.0              ,                   , 16.136999130249023,                   , 15.454999923706055, RG*  ,    0.1902, s         , A       , 0.289, -0.272,                    ,        , 
True ,        , BL069   , 02:39:29.56, -34:25:10.6, [LHT2010] BL069             , 39.873292621264994, -34.41968733223972 ,      0.0505,      0.069 ,            90, O             , 2020yCat.1350....0G,                   ,  ,                   ,                   ,                   ,                   ,                   ,                   , RG*  ,          , s         , A       , 0.345, -0.372,                    ,        , 
True ,        , BL070   , 02:39:40.46, -34:19:38.8, 2MASS J02394049-3419391     , 39.918700301689995, -34.327555252409994,      0.0534,      0.0715,            90, O             , 2020yCat.1350....0G, 18.290000915527344,  , 14.74899959564209 , 16.709999084472656,                   , 15.609000205993652,                   , 14.781000137329102, RG*  ,          , s         , A       , 0.386, -0.418,                    ,        , 
True ,        , BL076   , 02:39:31.49, -34:23:05.1, GB07 Fnx03                  , 39.88133838901    , -34.38483205008    ,      0.0548,      0.0755,            90, O             , 2020yCat.1350....0G, 18.534000396728516,  , 15.057000160217285, 17.049999237060547,                   , 15.857999801635742,                   , 15.166999816894531, RG*  ,          , s         , A       , 0.288, -0.194,                    ,        , 
True ,        , BL077   , 02:39:51.42, -34:21:20.9, GB07 Fnx02                  , 39.96437153734999 , -34.355863200760005,      0.0559,      0.0771,            90, O             , 2020yCat.1350....0G, 18.54800033569336 ,  , 15.173999786376953,                   ,                   , 15.854999542236328, 20.6299991607666  , 15.130999565124512, RG*  ,          , s         , A       , 0.332, -0.188,                    ,        , 
True ,        , BL079   , 02:39:19.60, -34:24:49.3, DK 39                       , 39.83180344729001 , -34.413782305      ,      0.0555,      0.0732,            90, O             , 2020yCat.1350....0G, 18.5              ,  , 14.73799991607666 , 16.940000534057617,                   , 15.923999786376953, 20.309999465942383, 14.923999786376953, RG*  ,          , s         , A       , 0.315, -0.324,                    ,        , 
True ,        , BL081   , 02:39:56.01, -34:24:10.5, [WMO2009] For-1233          , 39.98348967203    , -34.402945462409996,      0.0637,      0.0921,            90, O             , 2020yCat.1350....0G, 18.459999084472656,  , 15.109000205993652, 16.979999542236328,                   , 16.01300048828125 ,                   , 15.335000038146973, *    ,    0.3292, s         , A       , 0.617, -0.996,                    ,        , 
True ,        , BL084   , 02:38:42.96, -34:25:49.1, [LHT2010] BL084             , 39.679116661137506, -34.43039902716722 ,      0.0501,      0.0641,            90, O             , 2020yCat.1350....0G,                   ,  , 14.689000129699707,                   ,                   , 15.918000221252441,                   , 14.906999588012695, RG*  ,    0.1412, s         , A       , 0.355, -0.384,                    ,        , 
True ,        , BL085   , 02:38:55.53, -34:25:36.3, GB07 Fnx06                  , 39.73148666555    , -34.42685586689    ,      0.0471,      0.0608,            90, O             , 2020yCat.1350....0G, 18.187999725341797,  , 14.96399974822998 ,                   ,                   , 15.822999954223633,                   , 15.210000038146973, RG*  ,          , s         , A       , 0.354, -0.215,                    ,        , 
True ,        , BL091   , 02:39:04.31, -34:25:18.8, GB07 Fnx05                  , 39.76808603535    , -34.42199254483    ,      0.053 ,      0.0687,            90, O             , 2020yCat.1350....0G, 18.389999389648438,  , 15.092000007629395, 16.959999084472656,                   , 15.857999801635742,                   , 15.281000137329102, RG*  ,          , s         , A       , 0.319, -0.142,                    ,        , 
True ,        , BL092   , 02:38:49.28, -34:24:04.9, 2MASS J02384930-3424053     , 39.70545855836    , -34.40147695127    ,      0.0504,      0.0653,            90, O             , 2020yCat.1350....0G, 18.542999267578125,  , 14.800999641418457, 16.889999389648438,                   , 15.883000373840332,                   , 14.916000366210938, RG*  ,    0.0834, s         , A       , 0.344, -0.3  ,                    ,        , 
True ,        , BL093   , 02:38:39.87, -34:25:57.1, [LHT2010] BL093             , 39.66623432910749 , -34.43263612921333 ,      0.0601,      0.077 ,            90, O             , 2020yCat.1350....0G,                   ,  ,                   ,                   ,                   ,                   ,                   ,                   , RG*  ,    0.1418,           ,         , 0.396, -0.296,                    ,        , 
True ,        , BL094   , 02:38:53.89, -34:25:06.7, [LHT2010] BL094             , 39.72467273608    , -34.41862561387222 ,      0.0489,      0.0631,            90, O             , 2020yCat.1350....0G,                   ,  ,                   ,                   ,                   ,                   ,                   ,                   , RG*  ,    0.0452, s         , A       , 0.357, -0.498,                    ,        , 
True ,        , BL096   , 02:39:14.33, -34:22:41.5, 2MASS J02391438-3422418     , 39.80986399143    , -34.37833574486001 ,      0.0516,      0.0689,            90, O             , 2020yCat.1350....0G, 18.3700008392334  ,  , 15.08899974822998 , 16.84000015258789 ,                   , 15.996999740600586,                   , 14.904000282287598, RG*  ,    0.0503, s         , A       , 0.42 , -0.347,                    ,        , 
True ,        , BL097   , 02:39:04.07, -34:23:52.7, 2MASS J02390409-3423531     , 39.76707307423    , -34.39809347937    ,      0.0583,      0.0776,            90, O             , 2020yCat.1350....0G, 18.440000534057617,  , 14.809000015258789, 16.979999542236328,                   , 15.987000465393066,                   , 15.173999786376953, RG*  ,    0.0476, s         , A       , 0.486, -0.435,                    ,        , 
True ,        , BL100   , 02:38:56.00, -34:24:44.8, [LHT2010] BL100             , 39.733467088050006, -34.412560213063884,      0.0559,      0.0719,            90, O             , 2020yCat.1350....0G,                   ,  , 15.154000282287598,                   ,                   , 15.970000267028809,                   , 15.366000175476074, RG*  ,          , s         , A       , 0.344, -0.258,                    ,        , 
True ,        , BL104   , 02:39:14.59, -34:23:21.0, [LHT2010] BL104             , 39.8109235332625  , -34.389305737840836,      0.0548,      0.0733,            90, O             , 2020yCat.1350....0G,                   ,  ,                   ,                   ,                   ,                   ,                   ,                   , RG*  ,          , s         , A       , 0.396, -0.362,                    ,        , 
     ,        ,         ,            ,            ,                             ,                   , 
True ,        , BL109   , 02:39:04.08, -34:37:58.7, [LHT2010] BL109             , 39.767            , -34.63297222222223 ,            ,            ,              , O             , 2010A&A...523A..17L, 18.18000030517578 ,  ,                   , 16.950000762939453,                   ,                   ,                   ,                   , *    ,          , s         , A       ,      ,       ,                    ,        , 
