Name,Species,l_logepsX,logepsX,l_[X/Fe],[X/Fe],e_logepsX,N
BD+10 2495,Li I,,0.57,,-1.63,0.25,1
BD+10 2495,C-H,,5.92,,-0.31,0.20,1
BD+10 2495,C-N,,,,,,
BD+10 2495,O I,,7.30,,0.70,0.11,3
BD+10 2495,Na I,,3.89,,-0.11,0.25,1
BD+10 2495,Mg I,,5.78,,0.53,0.15,4
BD+10 2495,Al I,,3.56,,-0.58,0.25,1
BD+10 2495,Si I,,5.72,,0.50,0.15,2
BD+10 2495,K I,,,,,,
BD+10 2495,Ca I,,4.46,,0.43,0.10,9
BD+10 2495,Sc II,,0.63,,-0.14,0.11,6
BD+10 2495,Ti I,,2.72,,0.06,0.10,16
BD+10 2495,Ti II,,2.81,,0.15,0.10,20
BD+10 2495,V I,,1.36,,-0.31,0.25,1
BD+10 2495,V II,,1.62,,-0.05,0.16,2
BD+10 2495,Cr I,,3.11,,-0.23,0.10,10
BD+10 2495,Cr II,,3.54,,0.20,0.10,3
BD+10 2495,Mn I,,2.72,,-0.34,0.18,8
BD+10 2495,Mn II,,,,,,
BD+10 2495,Fe I,,5.19,,0.00,0.10,112
BD+10 2495,Fe II,,5.13,,-0.06,0.10,9
BD+10 2495,Co I,,2.46,,-0.13,0.15,2
BD+10 2495,Ni I,,3.91,,-0.01,0.10,8
BD+10 2495,Cu I,,0.99,,-0.89,0.25,1
BD+10 2495,Zn I,,2.32,,0.05,0.25,1
#BD+10 2495,Ga I,,,,,,
BD+10 2495,Rb I,,,,,,
BD+10 2495,Sr II,,0.44,,-0.08,0.30,1
BD+10 2495,Y II,,-0.52,,-0.43,0.10,4
BD+10 2495,Zr II,,0.27,,0.00,0.10,3
BD+10 2495,Nb II,<,0.59,<,1.46,,
BD+10 2495,Mo I,,-0.43,,0.02,0.25,1
BD+10 2495,Tc I,<,0.29,<,2.62,,
BD+10 2495,Ru I,,,,,,
#BD+10 2495,Sn I,<,1.35,<,1.69,,
BD+10 2495,Ba II,,-0.38,,-0.01,0.18,2
BD+10 2495,La II,,-1.36,,-0.22,0.10,4
BD+10 2495,Ce II,,-0.97,,-0.07,0.10,4
BD+10 2495,Pr II,,-1.17,,0.35,0.25,1
BD+10 2495,Nd II,,-0.92,,-0.06,0.10,5
BD+10 2495,Sm II,,-1.28,,0.09,0.15,2
BD+10 2495,Eu II,,-1.69,,0.13,0.10,3
BD+10 2495,Gd II,,-1.07,,0.18,0.15,2
BD+10 2495,Tb II,,-1.77,,0.21,0.30,1
BD+10 2495,Dy II,,-1.05,,0.22,0.10,4
BD+10 2495,Ho II,,-1.80,,0.06,0.30,1
BD+10 2495,Er II,,-1.20,,0.21,0.15,2
BD+10 2495,Tm II,,-2.16,,-0.06,0.30,1
BD+10 2495,Yb II,,-1.25,,0.17,0.25,1
BD+10 2495,Hf II,<,-1.30,<,0.19,,
BD+10 2495,Ir I,<,-0.11,<,0.87,,
BD+10 2495,Pb I,<,0.88,<,1.32,,
BD+10 2495,Th II,,-1.96,,0.25,0.30,1
BD+29 2356,Li I,<,0.70,,,,
BD+29 2356,C-H,,6.71,,-0.24,0.20,1
BD+29 2356,C-N,,6.57,,0.36,0.20,1
BD+29 2356,O I,,8.04,,0.72,0.25,1
BD+29 2356,Na I,,4.51,,-0.21,0.15,2
BD+29 2356,Mg I,,6.34,,0.37,0.11,3
BD+29 2356,Al I,,,,,,
BD+29 2356,Si I,,6.10,,0.16,0.23,4
BD+29 2356,K I,,4.28,,0.77,0.25,1
BD+29 2356,Ca I,,5.20,,0.45,0.10,7
BD+29 2356,Sc II,,1.63,,0.14,0.10,5
BD+29 2356,Ti I,,3.48,,0.10,0.10,14
BD+29 2356,Ti II,,3.74,,0.36,0.12,12
BD+29 2356,V I,,1.88,,-0.51,0.25,1
BD+29 2356,V II,,2.36,,-0.03,0.30,1
BD+29 2356,Cr I,,3.94,,-0.12,0.10,9
BD+29 2356,Cr II,,4.16,,0.10,0.25,1
BD+29 2356,Mn I,,3.44,,-0.34,0.10,5
BD+29 2356,Mn II,,,,,,
BD+29 2356,Fe I,,5.91,,0.00,0.11,82
BD+29 2356,Fe II,,5.81,,-0.10,0.10,7
BD+29 2356,Co I,,3.18,,-0.13,0.25,1
BD+29 2356,Ni I,,4.65,,0.01,0.18,7
BD+29 2356,Cu I,,2.05,,-0.55,0.25,1
BD+29 2356,Zn I,,3.05,,0.06,0.15,2
#BD+29 2356,Ga I,,,,,,
BD+29 2356,Rb I,<,2.00,<,1.09,,
BD+29 2356,Sr II,,1.26,,0.02,0.30,2
BD+29 2356,Y II,,0.52,,-0.11,0.10,3
BD+29 2356,Zr II,,1.33,,0.34,0.10,3
BD+29 2356,Nb II,<,1.63,<,1.78,,
BD+29 2356,Mo I,,0.46,,0.19,0.25,1
BD+29 2356,Tc I,<,1.08,<,2.69,,
BD+29 2356,Ru I,,,,,,
#BD+29 2356,Sn I,<,2.98,<,2.60,,
BD+29 2356,Ba II,,0.62,,0.09,0.15,2
BD+29 2356,La II,,-0.47,,-0.05,0.10,4
BD+29 2356,Ce II,,-0.06,,0.12,0.13,4
BD+29 2356,Pr II,,-0.45,,0.31,0.16,3
BD+29 2356,Nd II,,0.16,,0.30,0.16,6
BD+29 2356,Sm II,,-0.31,,0.34,0.15,2
BD+29 2356,Eu II,,-0.69,,0.41,0.25,1
BD+29 2356,Gd II,,-0.07,,0.46,0.22,2
BD+29 2356,Tb II,,-0.94,,0.32,0.25,1
BD+29 2356,Dy II,,0.04,,0.59,0.21,2
BD+29 2356,Ho II,,-0.64,,0.50,0.30,1
