Name,Species,logepsX_sun,lambda,chi,loggf,EW,l_logepsX,logepsX
LMC-003,11.0,6.24,5889.951,0.0,0.108,172.91,,3.144
LMC-003,11.0,6.24,5895.924,0.0,-0.194,181.87,,3.573
LMC-003,12.0,7.6,4571.096,0.0,-5.623,93.05,,5.149
LMC-003,12.0,7.6,4702.991,4.346,-0.44,57.35,,4.852
LMC-003,12.0,7.6,5528.405,4.346,-0.498,71.3,,5.043
LMC-003,13.0,6.45,3962.0,,,,,2.513
LMC-003,14.0,7.51,3906.0,,,,,4.194
LMC-003,19.0,5.03,7698.974,0.0,-0.178,31.63,,2.51
LMC-003,20.0,6.34,4283.011,1.886,-0.224,50.33,,3.508
LMC-003,20.0,6.34,4318.652,1.899,-0.21,49.43,,3.494
LMC-003,20.0,6.34,4425.437,1.879,-0.358,37.88,,3.438
LMC-003,20.0,6.34,4435.679,1.886,-0.519,31.89,,3.505
LMC-003,20.0,6.34,4454.779,1.899,0.258,67.66,,3.264
LMC-003,20.0,6.34,4455.887,1.899,-0.518,31.74,,3.516
LMC-003,20.0,6.34,5588.749,2.524,0.21,53.7,,3.814
LMC-003,20.0,6.34,6122.217,1.886,-0.316,74.06,,3.781
LMC-003,20.0,6.34,6162.173,1.899,-0.09,79.51,,3.633
LMC-003,20.0,6.34,6439.075,2.524,0.47,60.91,,3.602
LMC-003,21.1,3.15,4246.0,,,,,-0.225
LMC-003,21.1,3.15,4313.0,,,,,-0.08
LMC-003,21.1,3.15,4324.0,,,,,-0.078
LMC-003,21.1,3.15,4399.0,,,,,-0.042
LMC-003,21.1,3.15,4415.0,,,,,0.039
LMC-003,21.1,3.15,4669.0,,,,,0.263
LMC-003,21.1,3.15,5526.0,,,,,0.27
LMC-003,22.0,4.95,3958.205,0.048,-0.11,101.75,,2.43
LMC-003,22.0,4.95,3989.758,0.021,-0.13,69.46,,1.912
LMC-003,22.0,4.95,3998.636,0.048,0.02,81.85,,1.973
LMC-003,22.0,4.95,4533.239,0.848,0.54,61.28,,2.101
LMC-003,22.0,4.95,4534.776,0.835,0.35,54.25,,2.18
LMC-003,22.0,4.95,4991.066,0.835,0.45,67.55,,2.207
LMC-003,22.0,4.95,4999.503,0.825,0.32,40.2,,1.963
LMC-003,22.0,4.95,5007.209,0.818,0.17,50.83,,2.252
LMC-003,22.0,4.95,5210.384,0.048,-0.82,53.8,,2.301
LMC-003,22.1,4.95,4025.129,0.607,-2.11,105.14,,2.393
LMC-003,22.1,4.95,4053.821,1.891,-1.07,45.85,,2.07
LMC-003,22.1,4.95,4290.215,1.164,-0.87,123.98,,2.11
LMC-003,22.1,4.95,4312.86,1.179,-1.12,115.54,,2.219
LMC-003,22.1,4.95,4394.059,1.22,-1.77,56.29,,2.063
LMC-003,22.1,4.95,4395.031,1.083,-0.54,130.95,,1.765
LMC-003,22.1,4.95,4395.839,1.242,-1.93,51.44,,2.185
LMC-003,22.1,4.95,4399.765,1.236,-1.2,93.21,,2.006
LMC-003,22.1,4.95,4418.331,1.236,-1.99,51.63,,2.239
LMC-003,22.1,4.95,4443.801,1.079,-0.71,116.85,,1.669
LMC-003,22.1,4.95,4444.554,1.115,-2.2,45.62,,2.212
LMC-003,22.1,4.95,4450.482,1.083,-1.52,87.35,,2.044
LMC-003,22.1,4.95,4468.493,1.13,-0.63,126.04,,1.793
LMC-003,22.1,4.95,4501.27,1.115,-0.77,117.03,,1.763
LMC-003,22.1,4.95,4529.48,1.571,-1.75,50.37,,2.385
LMC-003,22.1,4.95,4545.133,1.13,-2.45,43.87,,2.446
LMC-003,22.1,4.95,4571.971,1.571,-0.31,125.62,,2.011
LMC-003,22.1,4.95,4583.409,1.164,-2.84,20.77,,2.456
LMC-003,22.1,4.95,4763.883,1.22,-2.4,33.49,,2.329
LMC-003,22.1,4.95,4798.531,1.079,-2.66,26.29,,2.279
LMC-003,22.1,4.95,5129.156,1.89,-1.34,37.48,,2.135
LMC-003,23.0,3.93,4379.0,,,,<,1.028
LMC-003,23.0,3.93,4384.0,,,,<,1.32
LMC-003,23.1,3.93,3952.0,,,,<,1.412
LMC-003,23.1,3.93,4006.0,,,,<,1.579
LMC-003,24.0,5.64,5206.023,0.941,0.02,85.82,,2.17
LMC-003,24.0,5.64,5409.783,1.029,-0.67,39.2,,2.352
LMC-003,24.1,5.64,4558.644,4.07,-0.43,23.64,,2.733
LMC-003,25.0,5.43,4753.0,,,,<,2.429
LMC-003,25.0,5.43,4762.0,,,,<,2.538
LMC-003,25.0,5.43,4782.0,,,,<,2.405
LMC-003,25.0,5.43,4824.0,,,,<,2.354
LMC-003,26.0,7.5,3786.677,1.01,-2.19,110.49,,4.51
LMC-003,26.0,7.5,3821.835,2.607,-1.04,44.96,,4.266
LMC-003,26.0,7.5,3917.181,0.989,-2.15,119.2,,4.562
LMC-003,26.0,7.5,3949.953,2.174,-1.25,68.03,,4.274
LMC-003,26.0,7.5,3977.741,2.196,-1.12,79.16,,4.335
LMC-003,26.0,7.5,4084.492,3.329,-0.54,37.53,,4.509
LMC-003,26.0,7.5,4139.927,0.989,-3.51,22.29,,4.311
LMC-003,26.0,7.5,4143.415,3.047,-0.21,82.35,,4.492
LMC-003,26.0,7.5,4147.669,1.484,-2.07,85.19,,4.459
LMC-003,26.0,7.5,4152.169,0.957,-3.16,56.35,,4.489
LMC-003,26.0,7.5,4173.921,0.989,-3.29,52.28,,4.601
LMC-003,26.0,7.5,4174.913,0.914,-2.94,86.95,,4.638
LMC-003,26.0,7.5,4187.039,2.45,-0.56,88.06,,4.182
LMC-003,26.0,7.5,4199.095,3.045,0.17,86.51,,4.166
LMC-003,26.0,7.5,4216.184,0.0,-3.36,123.49,,4.482
LMC-003,26.0,7.5,4233.603,2.482,-0.6,94.84,,4.359
LMC-003,26.0,7.5,4282.403,2.174,-0.78,82.79,,3.974
LMC-003,26.0,7.5,4291.463,0.052,-4.08,82.82,,4.609
LMC-003,26.0,7.5,4337.046,1.556,-1.7,93.47,,4.268
LMC-003,26.0,7.5,4389.245,0.052,-4.55,53.98,,4.685
LMC-003,26.0,7.5,4408.414,2.196,-1.74,79.17,,4.884
LMC-003,26.0,7.5,4435.149,0.087,-4.31,82.84,,4.855
LMC-003,26.0,7.5,4442.339,2.196,-1.23,65.97,,4.197
LMC-003,26.0,7.5,4447.717,2.221,-1.36,67.06,,4.371
LMC-003,26.0,7.5,4459.117,2.174,-1.29,90.61,,4.557
LMC-003,26.0,7.5,4461.653,0.087,-3.19,131.13,,4.49
LMC-003,26.0,7.5,4489.739,0.121,-3.9,95.5,,4.659
LMC-003,26.0,7.5,4494.563,2.196,-1.14,83.07,,4.325
LMC-003,26.0,7.5,4528.614,2.174,-0.89,103.54,,4.339
LMC-003,26.0,7.5,4531.148,1.484,-2.1,92.93,,4.533
LMC-003,26.0,7.5,4592.651,1.556,-2.46,71.97,,4.692
LMC-003,26.0,7.5,4602.941,1.484,-2.21,94.77,,4.664
LMC-003,26.0,7.5,4630.12,2.277,-2.58,14.65,,4.734
LMC-003,26.0,7.5,4632.912,1.607,-2.9,31.26,,4.619
LMC-003,26.0,7.5,4678.846,3.6,-0.68,20.0,,4.594
LMC-003,26.0,7.5,4733.591,1.484,-2.99,40.11,,4.693
LMC-003,26.0,7.5,4736.773,3.209,-0.67,40.63,,4.502
LMC-003,26.0,7.5,4772.804,1.556,-2.9,20.58,,4.323
LMC-003,26.0,7.5,4871.318,2.865,-0.34,79.35,,4.262
LMC-003,26.0,7.5,4890.755,2.876,-0.38,77.2,,4.286
LMC-003,26.0,7.5,4903.31,2.882,-0.89,54.61,,4.511
LMC-003,26.0,7.5,4939.687,0.858,-3.25,77.18,,4.629
LMC-003,26.0,7.5,4994.13,0.914,-2.97,97.03,,4.67
LMC-003,26.0,7.5,5001.864,3.882,-0.01,35.86,,4.565
LMC-003,26.0,7.5,5005.712,3.884,-0.12,17.67,,4.295
LMC-003,26.0,7.5,5012.068,0.858,-2.6,126.14,,4.647
LMC-003,26.0,7.5,5014.943,3.94,-0.18,26.4,,4.631
LMC-003,26.0,7.5,5041.072,0.957,-3.09,80.02,,4.618
LMC-003,26.0,7.5,5041.756,1.484,-2.2,102.81,,4.695
LMC-003,26.0,7.5,5051.635,0.914,-2.76,90.58,,4.367
LMC-003,26.0,7.5,5079.74,0.989,-3.25,65.74,,4.643
LMC-003,26.0,7.5,5110.413,0.0,-3.76,149.57,,5.049
LMC-003,26.0,7.5,5123.72,1.01,-3.06,92.17,,4.799
LMC-003,26.0,7.5,5127.36,0.914,-3.25,85.11,,4.773
LMC-003,26.0,7.5,5133.689,4.175,0.36,37.45,,4.567
LMC-003,26.0,7.5,5142.928,0.957,-3.07,73.58,,4.508
LMC-003,26.0,7.5,5150.84,0.989,-3.04,69.41,,4.468
LMC-003,26.0,7.5,5151.911,1.01,-3.32,77.06,,4.865
LMC-003,26.0,7.5,5171.596,1.484,-1.72,127.12,,4.55
LMC-003,26.0,7.5,5194.942,1.556,-2.02,84.3,,4.335
LMC-003,26.0,7.5,5202.336,2.174,-1.87,55.44,,4.602
LMC-003,26.0,7.5,5216.274,1.607,-2.08,103.53,,4.713
LMC-003,26.0,7.5,5225.525,0.11,-4.75,42.21,,4.714
LMC-003,26.0,7.5,5254.956,0.11,-4.76,76.57,,5.146
LMC-003,26.0,7.5,5283.621,3.239,-0.45,60.95,,4.562
LMC-003,26.0,7.5,5302.303,3.281,-0.73,26.06,,4.361
LMC-003,26.0,7.5,5307.361,1.607,-2.91,21.33,,4.373
LMC-003,26.0,7.5,5324.179,3.211,-0.11,80.06,,4.424
LMC-003,26.0,7.5,5328.532,1.556,-1.85,100.96,,4.368
LMC-003,26.0,7.5,5332.9,1.556,-2.78,48.83,,4.646
LMC-003,26.0,7.5,5339.929,3.263,-0.63,36.13,,4.418
LMC-003,26.0,7.5,5341.024,1.607,-1.95,101.34,,4.537
LMC-003,26.0,7.5,5397.128,0.914,-1.98,148.59,,4.369
LMC-003,26.0,7.5,5405.775,0.989,-1.85,157.61,,4.475
LMC-003,26.0,7.5,5429.696,0.957,-1.88,160.27,,4.499
LMC-003,26.0,7.5,5434.524,1.01,-2.13,136.32,,4.444
LMC-003,26.0,7.5,5497.516,1.01,-2.83,96.07,,4.569
LMC-003,26.0,7.5,5501.465,0.957,-3.05,81.87,,4.546
LMC-003,26.0,7.5,5506.779,0.989,-2.79,119.32,,4.811
LMC-003,26.0,7.5,5569.618,3.414,-0.52,44.89,,4.609
LMC-003,26.0,7.5,5586.756,3.366,-0.11,74.2,,4.521
LMC-003,26.0,7.5,5615.644,3.332,0.04,71.53,,4.294
LMC-003,26.0,7.5,5624.542,3.414,-0.76,31.02,,4.629
LMC-003,26.0,7.5,6219.28,2.196,-2.45,27.84,,4.722
LMC-003,26.0,7.5,6430.846,2.174,-1.95,49.35,,4.51
LMC-003,26.1,7.5,4178.855,2.583,-2.51,67.83,,4.572
LMC-003,26.1,7.5,4233.163,2.583,-2.02,82.69,,4.284
LMC-003,26.1,7.5,4416.818,2.778,-2.57,37.78,,4.413
LMC-003,26.1,7.5,4508.281,2.856,-2.42,59.34,,4.665
LMC-003,26.1,7.5,4515.334,2.844,-2.6,43.65,,4.607
LMC-003,26.1,7.5,4520.221,2.807,-2.65,38.15,,4.527
LMC-003,26.1,7.5,4522.628,2.844,-2.29,82.46,,4.833
LMC-003,26.1,7.5,4555.888,2.828,-2.4,62.33,,4.647
LMC-003,26.1,7.5,4583.829,2.807,-1.94,77.78,,4.368
LMC-003,26.1,7.5,4629.332,2.807,-2.26,45.88,,4.249
LMC-003,26.1,7.5,4923.922,2.891,-1.26,106.04,,4.143
LMC-003,26.1,7.5,5018.435,2.891,-1.1,117.94,,4.146
LMC-003,26.1,7.5,5197.568,3.23,-2.22,39.36,,4.587
LMC-003,26.1,7.5,5234.624,3.221,-2.18,40.66,,4.557
LMC-003,26.1,7.5,5275.997,3.199,-2.01,48.19,,4.467
LMC-003,26.1,7.5,5534.834,3.245,-2.75,19.43,,4.733
LMC-003,27.0,4.99,4110.0,,,,,2.273
LMC-003,27.0,4.99,4121.0,,,,,1.854
LMC-003,28.0,6.22,4331.642,1.675,-2.27,25.12,,3.688
LMC-003,28.0,6.22,4714.417,3.377,0.25,40.27,,3.492
LMC-003,28.0,6.22,7714.308,1.934,-2.0,20.93,,3.42
LMC-003,38.1,2.87,4078.0,,,,,-0.251
LMC-003,38.1,2.87,4215.0,,,,,-0.211
LMC-003,39.1,2.21,4884.0,,,,<,-0.67
LMC-003,39.1,2.21,4900.0,,,,<,-0.651
LMC-003,40.1,2.58,4208.0,,,,<,0.057
LMC-003,56.1,2.18,4554.0,,,,,-2.159
LMC-003,56.1,2.18,4933.0,,,,,-1.966
LMC-003,56.1,2.18,6496.0,,,,,-1.745
LMC-003,57.1,1.1,4086.0,,,,<,-1.705
LMC-003,57.1,1.1,4334.0,,,,<,-1.726
LMC-003,63.1,0.52,4129.0,,,,<,-2.206
LMC-003,106.0,8.43,4310.0,,,,,5.02
LMC-003,106.0,8.43,4323.0,,,,,5.145
LMC-100,11.0,6.24,5889.951,0.0,0.108,186.86,,3.491
LMC-100,12.0,7.6,4571.096,0.0,-5.623,101.59,,5.373
LMC-100,12.0,7.6,4702.991,4.346,-0.44,77.35,,5.141
LMC-100,12.0,7.6,5528.405,4.346,-0.498,100.3,,5.444
LMC-100,13.0,6.45,3962.0,,,,,2.824
LMC-100,14.0,7.51,3906.0,,,,,4.486
LMC-100,20.0,6.34,4318.652,1.899,-0.21,64.06,,3.752
LMC-100,20.0,6.34,4425.437,1.879,-0.358,67.34,,3.913
LMC-100,20.0,6.34,4435.679,1.886,-0.519,66.28,,4.067
LMC-100,20.0,6.34,4454.779,1.899,0.258,96.15,,3.744
LMC-100,20.0,6.34,4455.887,1.899,-0.518,52.65,,3.888
LMC-100,20.0,6.34,5588.749,2.524,0.21,67.16,,4.034
LMC-100,20.0,6.34,5594.462,2.523,0.097,48.2,,3.886
LMC-100,20.0,6.34,6102.723,1.879,-0.793,47.86,,3.97
LMC-100,20.0,6.34,6122.217,1.886,-0.316,97.03,,4.14
LMC-100,20.0,6.34,6162.173,1.899,-0.09,86.72,,3.79
LMC-100,20.0,6.34,6439.075,2.524,0.47,83.52,,3.945
LMC-100,21.1,3.15,4246.0,,,,,0.626
LMC-100,21.1,3.15,4313.0,,,,,0.435
LMC-100,21.1,3.15,4324.0,,,,,0.822
LMC-100,21.1,3.15,4399.0,,,,,0.373
LMC-100,21.1,3.15,4415.0,,,,,0.735
LMC-100,21.1,3.15,4669.0,,,,,0.646
LMC-100,21.1,3.15,5030.0,,,,,0.703
LMC-100,21.1,3.15,5526.0,,,,,0.518
LMC-100,22.0,4.95,3989.758,0.021,-0.13,93.04,,2.389
LMC-100,22.0,4.95,3998.636,0.048,0.02,89.55,,2.211
LMC-100,22.0,4.95,4512.734,0.835,-0.4,25.88,,2.548
LMC-100,22.0,4.95,4533.239,0.848,0.54,46.86,,1.974
LMC-100,22.0,4.95,4534.776,0.835,0.35,34.26,,1.953
LMC-100,22.0,4.95,4535.569,0.825,0.14,51.12,,2.408
LMC-100,22.0,4.95,4991.066,0.835,0.45,74.39,,2.372
LMC-100,22.0,4.95,4999.503,0.825,0.32,58.41,,2.284
LMC-100,22.1,4.95,4012.384,0.573,-1.78,139.54,,2.956
LMC-100,22.1,4.95,4290.215,1.164,-0.87,121.49,,2.312
LMC-100,22.1,4.95,4320.95,1.164,-1.88,97.01,,2.874
LMC-100,22.1,4.95,4394.059,1.22,-1.77,80.83,,2.571
LMC-100,22.1,4.95,4395.031,1.083,-0.54,154.65,,2.483
LMC-100,22.1,4.95,4395.839,1.242,-1.93,64.54,,2.528
LMC-100,22.1,4.95,4399.765,1.236,-1.2,111.37,,2.507
LMC-100,22.1,4.95,4418.331,1.236,-1.99,64.17,,2.573
LMC-100,22.1,4.95,4444.554,1.115,-2.2,52.53,,2.471
LMC-100,22.1,4.95,4450.482,1.083,-1.52,97.2,,2.389
LMC-100,22.1,4.95,4468.493,1.13,-0.63,127.47,,2.082
LMC-100,22.1,4.95,4493.522,1.079,-2.78,36.28,,2.761
LMC-100,22.1,4.95,4501.27,1.115,-0.77,138.39,,2.399
LMC-100,22.1,4.95,4518.332,1.079,-2.56,50.71,,2.755
LMC-100,22.1,4.95,4529.48,1.571,-1.75,66.24,,2.759
LMC-100,22.1,4.95,4545.133,1.13,-2.45,44.53,,2.616
LMC-100,22.1,4.95,4571.971,1.571,-0.31,137.03,,2.463
LMC-100,22.1,4.95,4708.663,1.236,-2.35,51.17,,2.725
LMC-100,22.1,4.95,4763.883,1.22,-2.4,40.26,,2.593
LMC-100,22.1,4.95,4798.531,1.079,-2.66,43.08,,2.719
LMC-100,22.1,4.95,5129.156,1.89,-1.34,80.79,,2.875
LMC-100,23.0,3.93,4379.0,,,,<,1.232
LMC-100,23.0,3.93,4384.0,,,,,1.098
LMC-100,23.1,3.93,3952.0,,,,<,2.583
LMC-100,23.1,3.93,4006.0,,,,<,1.86
LMC-100,24.0,5.64,4344.502,1.003,-0.65,67.88,,2.864
LMC-100,24.0,5.64,4646.162,1.029,-0.74,53.91,,2.761
LMC-100,24.0,5.64,4651.291,0.982,-1.46,39.11,,3.204
LMC-100,24.0,5.64,4652.157,1.003,-1.04,42.4,,2.86
LMC-100,24.0,5.64,5206.023,0.941,0.02,137.95,,3.09
LMC-100,24.0,5.64,5345.796,1.003,-0.95,37.89,,2.645
LMC-100,24.0,5.64,5409.783,1.029,-0.67,63.22,,2.744
LMC-100,24.1,5.64,4824.131,3.868,-0.92,31.39,,3.247
LMC-100,25.0,5.43,4753.0,,,,,2.474
LMC-100,25.0,5.43,4782.0,,,,,2.711
LMC-100,26.0,7.5,3816.34,2.196,-1.2,80.52,,4.568
LMC-100,26.0,7.5,3977.741,2.196,-1.12,92.91,,4.674
LMC-100,26.0,7.5,4139.927,0.989,-3.51,48.91,,4.868
LMC-100,26.0,7.5,4147.669,1.484,-2.07,125.65,,5.332
LMC-100,26.0,7.5,4152.169,0.957,-3.16,66.23,,4.724
LMC-100,26.0,7.5,4174.913,0.914,-2.94,96.58,,4.922
LMC-100,26.0,7.5,4187.039,2.45,-0.56,100.17,,4.494
LMC-100,26.0,7.5,4233.603,2.482,-0.6,105.62,,4.66
LMC-100,26.0,7.5,4282.403,2.174,-0.78,96.18,,4.295
LMC-100,26.0,7.5,4291.463,0.052,-4.08,88.06,,4.814
LMC-100,26.0,7.5,4337.046,1.556,-1.7,110.51,,4.687
LMC-100,26.0,7.5,4367.903,1.607,-2.88,65.42,,5.205
LMC-100,26.0,7.5,4389.245,0.052,-4.55,60.55,,4.877
LMC-100,26.0,7.5,4408.414,2.196,-1.74,70.2,,4.847
LMC-100,26.0,7.5,4442.339,2.196,-1.23,92.89,,4.665
LMC-100,26.0,7.5,4447.717,2.221,-1.36,88.08,,4.751
LMC-100,26.0,7.5,4459.117,2.174,-1.29,104.19,,4.882
LMC-100,26.0,7.5,4484.22,3.6,-0.64,26.12,,4.749
LMC-100,26.0,7.5,4489.739,0.121,-3.9,106.06,,4.967
LMC-100,26.0,7.5,4494.563,2.196,-1.14,98.56,,4.66
LMC-100,26.0,7.5,4528.614,2.174,-0.89,126.72,,4.857
LMC-100,26.0,7.5,4531.148,1.484,-2.1,97.96,,4.731
LMC-100,26.0,7.5,4592.651,1.556,-2.46,82.48,,4.933
LMC-100,26.0,7.5,4602.941,1.484,-2.21,112.56,,5.081
LMC-100,26.0,7.5,4607.647,3.263,-1.33,25.63,,5.019
LMC-100,26.0,7.5,4630.12,2.277,-2.58,15.67,,4.825
LMC-100,26.0,7.5,4632.912,1.607,-2.9,50.23,,4.985
LMC-100,26.0,7.5,4733.591,1.484,-2.99,77.51,,5.288
LMC-100,26.0,7.5,4736.773,3.209,-0.67,58.51,,4.814
LMC-100,26.0,7.5,4871.318,2.865,-0.34,91.37,,4.515
LMC-100,26.0,7.5,4890.755,2.876,-0.38,93.33,,4.594
LMC-100,26.0,7.5,4903.31,2.882,-0.89,65.54,,4.721
LMC-100,26.0,7.5,4939.687,0.858,-3.25,90.2,,4.913
LMC-100,26.0,7.5,4966.089,3.329,-0.79,37.85,,4.758
LMC-100,26.0,7.5,4994.13,0.914,-2.97,106.42,,4.938
LMC-100,26.0,7.5,5001.864,3.882,-0.01,45.13,,4.755
LMC-100,26.0,7.5,5005.712,3.884,-0.12,35.74,,4.717
LMC-100,26.0,7.5,5012.068,0.858,-2.6,132.43,,4.93
LMC-100,26.0,7.5,5041.072,0.957,-3.09,73.11,,4.631
LMC-100,26.0,7.5,5098.697,2.174,-2.03,56.82,,4.863
LMC-100,26.0,7.5,5142.928,0.957,-3.07,90.64,,4.836
LMC-100,26.0,7.5,5150.84,0.989,-3.04,84.7,,4.763
LMC-100,26.0,7.5,5151.911,1.01,-3.32,65.44,,4.817
LMC-100,26.0,7.5,5166.282,0.0,-4.12,116.86,,5.057
LMC-100,26.0,7.5,5171.596,1.484,-1.72,129.19,,4.755
LMC-100,26.0,7.5,5194.942,1.556,-2.02,97.39,,4.627
LMC-100,26.0,7.5,5202.336,2.174,-1.87,93.26,,5.18
LMC-100,26.0,7.5,5216.274,1.607,-2.08,108.31,,4.914
LMC-100,26.0,7.5,5227.19,1.556,-1.23,142.66,,4.573
LMC-100,26.0,7.5,5254.956,0.11,-4.76,71.29,,5.19
LMC-100,26.0,7.5,5263.306,3.263,-0.87,39.59,,4.766
LMC-100,26.0,7.5,5283.621,3.239,-0.45,88.71,,4.996
LMC-100,26.0,7.5,5302.303,3.281,-0.73,51.11,,4.817
LMC-100,26.0,7.5,5307.361,1.607,-2.91,73.08,,5.231
LMC-100,26.0,7.5,5324.179,3.211,-0.11,93.31,,4.685
LMC-100,26.0,7.5,5328.532,1.556,-1.85,139.47,,5.116
LMC-100,26.0,7.5,5341.024,1.607,-1.95,148.55,,5.431
LMC-100,26.0,7.5,5371.489,0.957,-1.64,166.0,,4.579
LMC-100,26.0,7.5,5393.168,3.241,-0.72,50.94,,4.751
LMC-100,26.0,7.5,5397.128,0.914,-1.98,147.73,,4.546
LMC-100,26.0,7.5,5405.775,0.989,-1.85,163.83,,4.781
LMC-100,26.0,7.5,5429.696,0.957,-1.88,160.68,,4.712
LMC-100,26.0,7.5,5434.524,1.01,-2.13,130.48,,4.528
LMC-100,26.0,7.5,5497.516,1.01,-2.83,130.39,,5.214
LMC-100,26.0,7.5,5501.465,0.957,-3.05,116.65,,5.144
LMC-100,26.0,7.5,5506.779,0.989,-2.79,113.4,,4.875
LMC-100,26.0,7.5,5569.618,3.414,-0.52,56.86,,4.829
LMC-100,26.0,7.5,5572.842,3.394,-0.28,52.34,,4.504
LMC-100,26.0,7.5,5586.756,3.366,-0.11,78.04,,4.641
LMC-100,26.0,7.5,5615.644,3.332,0.04,89.65,,4.607
LMC-100,26.0,7.5,5624.542,3.414,-0.76,32.97,,4.708
LMC-100,26.0,7.5,6219.28,2.196,-2.45,55.15,,5.201
LMC-100,26.0,7.5,6335.33,2.196,-2.18,69.67,,5.103
LMC-100,26.0,7.5,6400.001,3.603,-0.27,67.77,,4.904
LMC-100,26.0,7.5,6411.649,3.651,-0.59,30.9,,4.746
LMC-100,26.0,7.5,6430.846,2.174,-1.95,67.81,,4.817
LMC-100,26.1,7.5,4178.855,2.583,-2.51,75.27,,4.839
LMC-100,26.1,7.5,4233.163,2.583,-2.02,111.58,,4.954
LMC-100,26.1,7.5,4416.818,2.778,-2.57,59.86,,4.882
LMC-100,26.1,7.5,4520.221,2.807,-2.65,57.73,,4.955
LMC-100,26.1,7.5,4555.888,2.828,-2.4,64.29,,4.824
LMC-100,26.1,7.5,4576.328,2.844,-2.95,40.94,,5.046
LMC-100,26.1,7.5,4583.829,2.807,-1.94,107.51,,4.995
LMC-100,26.1,7.5,4629.332,2.807,-2.26,62.38,,4.622
LMC-100,26.1,7.5,4923.922,2.891,-1.26,120.26,,4.573
LMC-100,26.1,7.5,5018.435,2.891,-1.1,130.07,,4.558
LMC-100,26.1,7.5,5275.997,3.199,-2.01,50.6,,4.631
LMC-100,27.0,4.99,4119.0,,,,,2.428
LMC-100,27.0,4.99,4121.0,,,,,2.336
LMC-100,28.0,6.22,4331.642,1.675,-2.27,29.57,,3.851
LMC-100,28.0,6.22,5476.904,1.825,-0.78,78.78,,3.149
LMC-100,28.0,6.22,7714.308,1.934,-2.0,30.52,,3.686
LMC-100,38.1,2.87,4078.0,,,,,-0.603
LMC-100,38.1,2.87,4215.0,,,,,-1.042
LMC-100,39.1,2.21,4397.0,,,,<,-0.442
LMC-100,39.1,2.21,4884.0,,,,<,-0.398
LMC-100,39.1,2.21,4900.0,,,,<,-0.518
LMC-100,40.1,2.58,4208.0,,,,<,0.69
LMC-100,56.1,2.18,4554.0,,,,,-1.337
LMC-100,56.1,2.18,4933.0,,,,,-1.432
LMC-100,56.1,2.18,6142.0,,,,,-1.176
LMC-100,56.1,2.18,6496.0,,,,,-1.023
LMC-100,57.1,1.1,4086.0,,,,<,-1.232
LMC-100,57.1,1.1,4122.0,,,,<,-0.945
LMC-100,57.1,1.1,4334.0,,,,<,-1.271
LMC-100,57.1,1.1,4922.0,,,,<,-0.94
LMC-100,63.1,0.52,4129.0,,,,<,-1.778
LMC-100,63.1,0.52,4205.0,,,,<,-1.748
LMC-100,106.0,8.43,4310.0,,,,,5.407
LMC-100,106.0,8.43,4323.0,,,,,5.551
LMC-109,11.0,6.24,5889.951,0.0,0.108,174.19,,3.183
LMC-109,11.0,6.24,5895.924,0.0,-0.194,157.03,,3.234
LMC-109,12.0,7.6,4167.271,4.346,-0.745,64.45,,5.263
LMC-109,12.0,7.6,4571.096,0.0,-5.623,100.64,,5.165
LMC-109,12.0,7.6,4702.991,4.346,-0.44,75.48,,5.052
LMC-109,12.0,7.6,5528.405,4.346,-0.498,88.26,,5.221
LMC-109,13.0,6.45,3962.0,,,,,2.401
LMC-109,14.0,7.51,3906.0,,,,,5.091
LMC-109,19.0,5.03,7698.974,0.0,-0.178,55.15,,2.792
LMC-109,20.0,6.34,4283.011,1.886,-0.224,60.02,,3.605
LMC-109,20.0,6.34,4318.652,1.899,-0.21,62.47,,3.642
LMC-109,20.0,6.34,4425.437,1.879,-0.358,56.39,,3.666
LMC-109,20.0,6.34,4434.957,1.886,-0.007,98.68,,3.959
LMC-109,20.0,6.34,4435.679,1.886,-0.519,59.04,,3.873
LMC-109,20.0,6.34,4454.779,1.899,0.258,91.69,,3.593
LMC-109,20.0,6.34,4455.887,1.899,-0.518,36.53,,3.546
LMC-109,20.0,6.34,5588.749,2.524,0.21,54.85,,3.788
LMC-109,20.0,6.34,5594.462,2.523,0.097,41.39,,3.702
LMC-109,20.0,6.34,6102.723,1.879,-0.793,43.19,,3.798
LMC-109,20.0,6.34,6122.217,1.886,-0.316,77.8,,3.785
LMC-109,20.0,6.34,6162.173,1.899,-0.09,96.54,,3.816
LMC-109,20.0,6.34,6439.075,2.524,0.47,67.11,,3.642
LMC-109,21.1,3.15,4246.0,,,,,0.388
LMC-109,21.1,3.15,4313.0,,,,,0.498
LMC-109,21.1,3.15,4324.0,,,,,0.212
LMC-109,21.1,3.15,4399.0,,,,,0.257
LMC-109,21.1,3.15,4415.0,,,,,0.34
LMC-109,21.1,3.15,4669.0,,,,,0.585
LMC-109,21.1,3.15,5526.0,,,,,0.415
LMC-109,22.0,4.95,3989.758,0.021,-0.13,81.02,,2.022
LMC-109,22.0,4.95,3998.636,0.048,0.02,99.33,,2.224
LMC-109,22.0,4.95,4008.927,0.021,-1.0,34.25,,2.168
LMC-109,22.0,4.95,4533.239,0.848,0.54,64.02,,2.062
LMC-109,22.0,4.95,4534.776,0.835,0.35,45.92,,1.982
